batch_id,model,batch_size,file_numbers,true_labels,pred_labels,batch_correct,batch_attempted,error,http_status,raw_response,prompt_tokens,completion_tokens,total_tokens
1,google/gemma-4-31b-it,5,3657|15|5003|8996|9876,4|4|4|6|4,||||,0,0,http_402,402,,0,0,0
2,google/gemma-4-31b-it,5,9696|2155|2362|2419|9029,6|5|9|4|9,||||,0,0,http_402,402,,0,0,0
3,google/gemma-4-31b-it,5,500|2338|6935|8549|1123,6|7|2|3|5,||||,0,0,http_402,402,,0,0,0
4,google/gemma-4-31b-it,5,2356|4369|2231|1881|6838,2|2|4|5|1,||||,0,0,http_402,402,,0,0,0
5,google/gemma-4-31b-it,5,7684|6299|2067|687|1739,9|5|2|4|5,||||,0,0,http_402,402,,0,0,0
6,google/gemma-4-31b-it,5,9846|8100|4207|6709|3218,3|5|0|1|0,||||,0,0,http_402,402,,0,0,0
7,google/gemma-4-31b-it,5,638|3306|9072|9067|875,5|8|9|3|9,||||,0,0,http_402,402,,0,0,0
8,google/gemma-4-31b-it,5,9906|1187|3863|7867|8740,2|0|2|1|5,||||,0,0,http_402,402,,0,0,0
9,google/gemma-4-31b-it,5,2187|908|2888|5478|648,1|2|0|3|0,||||,0,0,http_402,402,,0,0,0
10,google/gemma-4-31b-it,5,2458|2411|2908|7243|1198,8|0|8|5|1,||||,0,0,http_402,402,,0,0,0
11,google/gemma-4-31b-it,5,2895|4635|8570|6188|2813,3|6|4|7|3,||||,0,0,http_402,402,,0,0,0
12,google/gemma-4-31b-it,5,146|8374|5732|9659|4064,0|8|4|0|9,||||,0,0,http_402,402,,0,0,0
13,google/gemma-4-31b-it,5,7997|9912|3073|8880|2326,7|6|0|9|1,||||,0,0,http_402,402,,0,0,0
14,google/gemma-4-31b-it,5,7419|2503|198|73|8367,7|3|9|8|8,||||,0,0,http_402,402,,0,0,0
15,google/gemma-4-31b-it,5,5740|1053|3594|1480|4275,8|1|8|7|3,||||,0,0,http_402,402,,0,0,0
16,google/gemma-4-31b-it,5,2110|1743|8604|8956|4250,6|2|1|1|6,||||,0,0,http_402,402,,0,0,0
17,google/gemma-4-31b-it,5,9657|5007|9256|6979|5122,8|3|7|7|6,||||,0,0,http_402,402,,0,0,0
18,google/gemma-4-31b-it,5,1722|1590|7615|1363|7005,7|4|3|1|2,||||,0,0,http_402,402,,0,0,0
19,google/gemma-4-31b-it,5,3044|4285|4192|9662|2038,6|8|2|7|9,||||,0,0,http_402,402,,0,0,0
20,google/gemma-4-31b-it,5,2457|9856|8280|5653|3690,0|6|9|7|5,||||,0,0,http_402,402,,0,0,0
