26,54,73,75,77,92,108,120,185,192,198,213,227,236,239,245,247,262,273,274,280,298,315,324,333,339,342,345,352,384,391,398,420,426,449,458,459,463,515,540,541,545,548,551,554,561,563,565,567,588
3,5,8,13,28,35,37,40,48,83,84,86,105,130,131,132,142,150,157,161,164,167,179,183,194,221,238,251,265,278,292,320,321,334,358,361,365,399,400,418,419,425,476,482,484,485,504,507,508,511
19,34,41,45,57,81,103,110,118,138,139,151,158,159,163,174,205,206,216,219,233,282,288,318,327,328,332,341,354,356,367,368,370,376,392,393,407,423,431,440,453,464,489,490,513,523,525,526,534,550
6,16,22,33,44,62,65,80,85,91,94,107,109,129,135,146,173,178,188,209,214,217,218,225,226,241,243,264,276,290,295,296,310,363,371,379,409,410,444,446,457,461,479,483,487,491,495,505,519,531
14,36,43,53,60,66,90,93,97,99,104,116,119,126,134,140,143,148,156,168,169,200,201,208,246,252,255,257,258,271,304,317,319,322,335,337,350,353,357,366,373,377,389,404,424,429,433,448,452,467
2,4,9,11,15,17,21,42,59,67,69,71,78,89,128,144,154,165,181,187,189,190,196,224,228,229,234,250,279,312,325,326,347,348,364,372,378,380,381,416,432,439,468,469,517,520,524,532,533,542
1,10,18,23,24,39,70,74,82,87,100,106,114,115,122,155,160,172,177,203,204,207,220,222,231,232,235,253,268,270,285,286,289,306,311,316,338,355,382,386,406,434,441,442,445,447,455,465,474,481
7,31,38,52,63,64,76,95,96,137,141,147,162,166,171,184,193,199,210,212,215,223,248,249,266,269,284,300,307,309,329,346,349,362,369,385,390,395,411,421,427,477,502,559,571,572,574,608,610,614
20,25,27,29,55,61,72,101,111,117,124,127,175,180,211,244,259,261,267,275,281,283,291,294,301,303,323,351,359,360,383,388,396,401,403,405,415,417,436,450,466,501,529,537,538,549,557,584,586,590
0,32,47,49,50,88,102,112,149,152,153,170,182,186,191,195,197,202,230,237,240,242,254,256,263,277,287,302,308,314,340,343,344,374,375,414,422,435,437,456,471,492,497,500,512,539,553,562,564,568
