batch_id,model,batch_size,file_numbers,true_labels,pred_labels,batch_correct,batch_attempted,error,http_status,raw_response,prompt_tokens,completion_tokens,total_tokens
1,google/gemma-4-31b-it,5,1842|5913|1848|9972|9125,0|6|0|4|7,||||,0,0,http_402,402,,0,0,0
2,google/gemma-4-31b-it,5,1910|3096|4154|2116|3143,8|6|4|6|6,||||,0,0,http_402,402,,0,0,0
3,google/gemma-4-31b-it,5,1137|5544|6537|2223|8717,5|4|6|1|5,||||,0,0,http_402,402,,0,0,0
4,google/gemma-4-31b-it,5,7657|2953|5712|2836|4447,2|9|7|2|5,||||,0,0,http_402,402,,0,0,0
5,google/gemma-4-31b-it,5,9314|8274|2461|1459|5978,2|3|1|1|5,||||,0,0,http_402,402,,0,0,0
6,google/gemma-4-31b-it,5,4455|9175|1849|4009|4905,0|5|3|0|2,||||,0,0,http_402,402,,0,0,0
7,google/gemma-4-31b-it,5,1653|6355|4385|8979|9099,3|6|9|6|7,||||,0,0,http_402,402,,0,0,0
8,google/gemma-4-31b-it,5,349|8723|5842|9752|7329,5|1|2|3|1,||||,0,0,http_402,402,,0,0,0
9,google/gemma-4-31b-it,5,5039|7022|5905|5639|1632,6|0|8|8|4,||||,0,0,http_402,402,,0,0,0
10,google/gemma-4-31b-it,5,5501|9684|2353|429|6775,9|3|1|3|3,||||,0,0,http_402,402,,0,0,0
11,google/gemma-4-31b-it,5,7842|6969|8772|6343|1615,6|1|7|8|2,||||,0,0,http_402,402,,0,0,0
12,google/gemma-4-31b-it,5,3919|1972|5629|3371|9037,3|6|8|4|5,||||,0,0,http_402,402,,0,0,0
13,google/gemma-4-31b-it,5,4418|7860|4225|1359|5188,2|2|7|4|7,||||,0,0,http_402,402,,0,0,0
14,google/gemma-4-31b-it,5,3615|7379|5017|295|8285,9|4|4|8|9,||||,0,0,http_402,402,,0,0,0
15,google/gemma-4-31b-it,5,2672|6952|3123|6970|7407,8|2|4|8|8,||||,0,0,http_402,402,,0,0,0
16,google/gemma-4-31b-it,5,9320|3394|6088|8887|2652,8|3|7|2|5,||||,0,0,http_402,402,,0,0,0
17,google/gemma-4-31b-it,5,1160|7469|3981|6562|129,9|9|9|0|5,||||,0,0,http_402,402,,0,0,0
18,google/gemma-4-31b-it,5,6399|1805|6835|7993|9270,0|0|9|9|0,||||,0,0,http_402,402,,0,0,0
19,google/gemma-4-31b-it,5,6226|5237|8776|4904|6507,4|5|1|0|3,||||,0,0,http_402,402,,0,0,0
20,google/gemma-4-31b-it,5,2429|4107|8891|8989|4931,7|7|1|7|1,||||,0,0,http_402,402,,0,0,0
