batch_id,model,batch_size,file_numbers,true_labels,pred_labels,batch_correct,batch_attempted,error,http_status,raw_response,prompt_tokens,completion_tokens,total_tokens
1,google/gemma-4-31b-it,5,1207|1686|5620|217|7227,6|7|8|2|9,||||,0,0,http_402,402,,0,0,0
2,google/gemma-4-31b-it,5,5682|1823|9609|6402|2295,9|1|9|6|1,||||,0,0,http_402,402,,0,0,0
3,google/gemma-4-31b-it,5,9565|2680|8946|3308|5710,5|7|3|7|4,||||,0,0,http_402,402,,0,0,0
4,google/gemma-4-31b-it,5,8411|7153|2348|5781|4304,9|2|4|5|6,||||,0,0,http_402,402,,0,0,0
5,google/gemma-4-31b-it,5,3632|5551|2605|1384|2479,0|3|2|8|1,||||,0,0,http_402,402,,0,0,0
6,google/gemma-4-31b-it,5,9100|4003|9450|963|6469,4|4|2|4|4,||||,0,0,http_402,402,,0,0,0
7,google/gemma-4-31b-it,5,1885|5985|8541|3251|8147,2|4|8|0|8,||||,0,0,http_402,402,,0,0,0
8,google/gemma-4-31b-it,5,8683|5799|3554|1378|8800,4|0|5|3|7,||||,0,0,http_402,402,,0,0,0
9,google/gemma-4-31b-it,5,6994|1556|3848|2977|4183,4|6|7|1|3,||||,0,0,http_402,402,,0,0,0
10,google/gemma-4-31b-it,5,2494|9974|727|6742|8585,5|8|2|6|8,||||,0,0,http_402,402,,0,0,0
11,google/gemma-4-31b-it,5,5785|5597|589|2241|3600,2|1|0|5|1,||||,0,0,http_402,402,,0,0,0
12,google/gemma-4-31b-it,5,2061|2409|784|402|8791,1|0|0|8|7,||||,0,0,http_402,402,,0,0,0
13,google/gemma-4-31b-it,5,2167|765|7592|8708|5395,9|9|2|8|6,||||,0,0,http_402,402,,0,0,0
14,google/gemma-4-31b-it,5,3994|7485|3581|6116|4995,1|0|6|1|9,||||,0,0,http_402,402,,0,0,0
15,google/gemma-4-31b-it,5,9396|3499|753|8289|7939,3|6|4|9|5,||||,0,0,http_402,402,,0,0,0
16,google/gemma-4-31b-it,5,2114|9624|8829|9391|9442,7|8|7|5|0,||||,0,0,http_402,402,,0,0,0
17,google/gemma-4-31b-it,5,3202|3070|2492|8279|9949,5|6|5|3|8,||||,0,0,http_402,402,,0,0,0
18,google/gemma-4-31b-it,5,7715|7874|5167|9035|6074,0|9|3|7|3,||||,0,0,http_402,402,,0,0,0
19,google/gemma-4-31b-it,5,5923|1998|9205|2738|9281,3|5|0|6|3,||||,0,0,http_402,402,,0,0,0
20,google/gemma-4-31b-it,5,4976|4713|770|8268|5463,2|2|1|9|7,||||,0,0,http_402,402,,0,0,0
