3674,4856,4091,871,7630,9586,6099,6726,2784,4206,3390,6561,3830,663,7382,4903,4744,7297,2020,7945,5328,7854,1741,6481,8524,8709,3882,9788,7971,8818,6065,6059,6889,4161,9290,6695,639,7146,4077,8311,5202,2365,812,7405,7153,1877,3463,1279,946,7963
5559,4549,7858,8482,6554,4038,2917,3478,9878,4308,7429,40,5574,7482,7381,2290,6423,910,4672,6310,6088,7404,5557,2562,334,1286,4357,8165,7563,1276,5508,2112,6837,824,7778,4436,4956,8283,260,5598,1117,9716,7534,5647,2308,320,2630,5382,9732,1904
6955,1953,9657,7459,1717,9186,6454,4345,6153,6572,6843,5817,2534,4751,4132,8696,3058,3115,216,9060,7043,6764,7433,7023,6203,8616,3294,6339,2629,685,7430,814,807,8391,4567,2555,1427,5311,1289,2556,4673,7822,4364,5665,7495,742,4423,7259,3540,4275
1111,9951,2826,9580,3041,6501,91,2955,9032,3015,1093,2650,8342,9908,7569,6362,4466,8007,3533,5323,1162,6216,7204,2510,5257,2279,2242,9213,4151,2849,6633,2656,8130,379,9090,5381,1436,2168,3366,2971,8618,9535,1963,7217,6545,209,6058,5175,1377,5081
1529,148,7196,4654,9392,3920,4642,2886,6474,3760,2520,5482,5430,8127,9115,8448,688,1222,1164,4178,2554,246,4745,4002,9497,6451,6959,1106,1156,733,1837,389,4837,2806,9617,7507,2780,7896,9149,7446,2729,4697,1754,1070,9284,9766,126,6627,1182,2124
8171,2240,9189,8846,4227,8173,7051,4337,645,9035,3936,5600,3396,5022,1352,1689,9579,543,1367,187,3769,1485,1098,2485,4467,2177,5302,2711,6105,9139,1831,1012,7160,1089,7775,2958,3035,8975,1876,983,1476,2401,5747,8006,1612,9026,5657,7938,8555,3444
3095,1301,6041,5824,8265,9855,5883,1928,7333,3776,7439,5122,8509,3334,6556,6662,2413,4959,3022,3166,2324,4953,4618,3792,7302,4249,7102,9361,9471,4460,3635,7481,521,5803,7928,5484,2623,4104,6552,9220,3408,6952,1644,6120,4782,7823,1349,2481,8077,4305
5271,1355,7240,6734,2678,9048,7627,6061,7179,1381,4785,5284,5031,1443,969,949,5204,8001,6022,8050,9129,6597,3596,1770,7966,5652,9250,7929,1790,9246,8504,8390,571,5017,5868,6453,1503,4679,9045,7384,7075,7441,2217,1032,7593,5730,2550,6665,4353,76
9613,4533,6486,1023,7574,7795,4376,2954,5248,9699,2276,2843,1061,6527,8777,3665,8783,7062,8512,6727,9216,9727,127,299,6674,2704,417,8123,880,2772,275,1292,8444,7598,8053,111,6342,4909,2852,2385,6139,1329,6484,9846,4070,4193,9061,6850,7891,1836
4504,422,4963,9360,887,6624,4832,5414,3184,5978,2654,7214,5886,3938,5325,6818,9376,7612,50,6188,2636,7065,2595,729,7807,4339,5617,1531,4877,5634,6128,4855,1448,5636,7175,3975,8558,1700,6032,8518,7351,2237,7226,1594,4852,5228,562,9540,9381,1813
