26,51,54,73,75,77,92,108,120,145,176,185,192,198,213,227,236,239,245,262,273,274,280,298,305,315,324,333,339,342
3,5,8,13,28,35,37,40,48,56,83,84,105,130,131,132,142,150,157,161,164,167,179,183,194,221,238,251,260,265
19,34,41,45,57,81,103,110,113,118,139,158,159,163,174,205,206,216,219,233,282,288,293,318,327,332,341,354,356,367
6,16,22,33,44,62,65,80,85,91,94,107,109,129,135,146,173,178,188,209,214,217,218,226,241,243,264,276,290,295
14,36,43,53,60,66,90,93,97,99,104,116,119,126,134,140,143,148,156,168,169,200,201,208,246,252,255,257,258,271
2,4,11,15,17,21,42,59,67,69,71,89,128,133,144,154,165,181,187,189,196,224,228,229,234,250,279,297,312,326
1,10,18,23,24,39,68,70,74,82,87,100,106,114,115,122,123,155,160,172,177,203,204,207,220,222,231,232,235,268
7,12,31,38,52,63,64,76,95,96,137,141,147,162,166,171,184,193,199,210,212,223,248,249,266,269,272,284,300,307
20,25,29,30,55,61,79,98,101,117,127,136,180,244,261,267,275,281,283,291,294,299,301,303,323,351,359,360,383,388
0,32,49,50,88,102,121,149,152,153,170,182,186,191,195,197,202,230,237,240,242,254,263,277,287,302,308,313,314,340
